Label,modularity_class
[CH]#[C][O]([OH])[OH].[HH].[HH].[H][H],1
[CH]#[C][O][OH].[HH].[HH].[HH].[HH].[OH2],1
[CH]#[O].[HH].[H][CH]([H])[H].[O]=[O],1
[CH]#[O].[HH].[HH].[H][CH]([H])[O][OH],3
[CH]#[O].[HH].[HH].[HH].[H][CH3].[O]=[O],3
[CH]1=[O][O][O]1.[HH].[H][CH]([H])[H],0
[CH]1=[O][O][O]1.[HH].[HH].[HH].[H][CH3],3
[CH2]=[C]=[O][O][OH].[HH].[HH].[H][H],1
[CH2]=[C]=[O][OH].[HH].[HH].[HH].[HH].[OH2],1
[CH2]=[O].[HH].[HH].[H][CH]([H])[O]=[O],1
[CH2]=[O].[HH].[HH].[HH].[H][CH3].[O]#[O],1
[CH2]=[O][O]=[O].[CH4].[HH].[HH].[HH].[HH],1
[CH2]=[O][O]=[O].[H][C]([H])([H])[H],0
[CH2]=[O][O]=[O].[HH].[H][CH]([H])[H],2
[CH2]=[O][O]=[O].[HH].[HH].[HH].[H][CH3],2
[CH2]1[CH2][O][O][O]1.[HH].[HH].[HH].[HH],1
[CH2]1[O][O][O]1.[HH].[HH].[H][CH2][H],2
[CH2]1[O][O]=[O]1.[H][CH2][H].[H][H],1
[CH2]1[O][O]1.[HH].[HH].[H][CH2][H].[OH2],3
[CH2]1[O]2[O][O]12.[HH].[HH].[H][CH2][H],0
[CH3][C]#[O].[HH].[HH].[HH].[HH].[OH][OH],1
[CH3][CH]1[O][O][O]1.[HH].[HH].[HH].[HH],1
[CH3][CH]1[O][O]1[OH].[HH].[HH].[HH].[HH],1
[CH3][CH2][O]([OH])[OH].[HH].[HH].[HH].[HH],2
[CH3][CH2][O][O][OH].[HH].[HH].[HH].[HH],2
[CH3][CH2][O]1[O][O]1.[HH].[HH].[HH].[HH],1
[CH3][CH3].[HH].[HH].[H][H].[O]1[O][O]1,1
[CH3][CH3].[HH].[HH].[H][O]([H])[O][OH],1
[CH3][CH3].[HH].[HH].[H][O][O]([H])[OH],1
[CH3][CH3].[HH].[HH].[H][O][O][O][H],1
[CH3][CH3].[HH].[HH].[HH].[H][O]([OH])[OH],2
[CH3][CH3].[HH].[HH].[HH].[H][O][O][OH],2
