source,target,weight
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH2][C]([H])([H])[H].[OH][O][OH],12
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH]=[C]([H])[H].[H][O][O]=[O],12
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH2][CH]([H])[H].[H][O]([OH])[OH],16
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH]=[C]([H])[H].[H][O]=[O][OH],12
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[HH].[HH].[H][C]([H])=[CH2].[O]=[O][OH],8
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[HH].[H][CH2][H].[H][CH3].[OH][O][OH],12
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[HH].[H][C](=[O][O][OH])[CH]([H])[H],16
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[HH].[H][C]([H])=[C]([H])[O]([OH])[OH],20
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[HH].[HH].[H][C]#[C][H].[OH][O][OH],12
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[HH].[H][CH2][C]([H])([H])[O][O][OH],8
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[HH].[H][CH2][C]([H])([H])[O]([OH])[OH],12
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[HH].[H][CH]=[C]([H])[H].[OH2].[O]#[O],8
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[HH].[H][CH]=[C]([H])[H].[O]1[O][O]1,8
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH2][H].[H][CH]([H])[O][O][OH],8
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH2][H].[H][CH]([H])[O]([OH])[OH],12
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH2][H].[H][CH2][H].[OH2].[OH][OH],8
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH2][H].[H][CH2][H].[O]1[O]=[O]1,8
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][C]1([H])[O]([O][OH])[C]1([H])[H],12
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][C]1([H])[O][O]([OH])[C]1([H])[H],12
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][C]1([H])[O][O][O][C]1([H])[H],12
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH]([H])[C]([H])([H])[OH].[O]#[O],4
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH]([H])[C]([H])([H])[O]1[O][O]1,4
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH]([H])[C]([H])([H])[O][OH].[OH2],4
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH]([H])[CH]([H])[H].[OH2].[OH2].[OH2],4
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[HH].[H][CH]=[C]([H])[H].[O]=[O][OH],6
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH2][H].[H][CH2][H].[OH][O][OH],6
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH]([H])[C]([H])([H])[O][O]=[O],2
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH]([H])[C]([H])([H])[O]([OH])[OH],6
[H][C]([H])=[C]([H])[H].[O]=[O][OH],[H][CH]([H])[C]([H])([H])[O]=[O][OH],2
