source,count,source_communities
[CH3][CH3].[HH].[HH].[HH].[HH].[OH][O][OH],0.8095238095238095,1
[CH3][O]([OH])[OH].[HH].[HH].[H][CH2][H],0.39344262295081966,3
[CH3][O][O][OH].[HH].[HH].[H][CH2][H],0.42857142857142855,3
[CH4].[HH].[HH].[HH].[H][CH3].[OH][O][OH],0.5263157894736842,1
[CH4].[HH].[HH].[H][CH2][H].[OH2].[OH][OH],0.5342465753424658,1
[CH4].[HH].[HH].[H][CH2][H].[OH][O][OH],0.9014084507042254,2
[CH4].[HH].[HH].[H][CH2][H].[O]1[O][O]1,0.5483870967741935,0
[CH4].[HH].[HH].[H][CH]([H])[O]([OH])[OH],0.4576271186440678,1
[CH4].[HH].[HH].[H][C]([H])=[O][O]=[O],0.44761904761904764,3
[CH4].[HH].[H][CH2][H].[H][O]([OH])[OH],0.5178571428571429,1
[CH4].[HH].[H][CH2][H].[H][O][O][OH],0.5398230088495575,1
[CH4].[HH].[H][CH]([H])[H].[OH][O][OH],0.5,0
[CH4].[H][CH2][H].[H][H].[OH][O][OH],0.5957446808510638,1
[HH].[HH].[HH].[H][CH2][CH2][O]([OH])[OH],0.5230769230769231,1
[HH].[HH].[HH].[H][CH2][CH2][O][O][OH],0.49122807017543857,1
[HH].[HH].[HH].[H][CH2][CH3].[O]1[O][O]1,0.5151515151515151,1
[HH].[HH].[HH].[H][C]#[CH].[OH2].[O]=[O],0.6301369863013698,1
[HH].[HH].[HH].[H][C]#[CH].[OH][O][OH],0.9852941176470589,2
[HH].[HH].[HH].[H][C](=[CH2])[O]([OH])[OH],0.6461538461538462,1
[HH].[HH].[HH].[H][C]([CH3])=[O][O][OH],0.5752212389380531,1
[HH].[HH].[H][CH2][CH2][H].[OH2].[OH2].[OH2],0.44,4
[HH].[HH].[H][CH2][CH2][H].[O]1[O][O]1,0.6666666666666666,2
[HH].[HH].[H][CH2][CH]([H])[O]1[O][O]1,0.35,0
[HH].[HH].[H][CH2][C]1([H])[O][O]1[OH],0.4473684210526316,4
[HH].[HH].[H][CH2][C]1([H])[O][O][O]1,0.49230769230769234,4
[HH].[HH].[H][CH2][O]([OH])[OH].[H][CH3],0.4626865671641791,3
[HH].[HH].[H][CH3].[H][CH3].[OH2].[OH][OH],0.32653061224489793,4
[HH].[HH].[H][CH3].[H][CH3].[OH][O][OH],0.9574468085106383,2
[HH].[HH].[H][CH3].[H][CH3].[O]1[O][O]1,0.36363636363636365,0
[HH].[HH].[H][CH3].[H][CH]=[O][O]=[O],0.5137614678899083,3
[HH].[HH].[H][CH]([H])[CH2][O]1[O][O]1,0.5,0
[HH].[HH].[H][CH]([H])[CH3].[OH2].[OH2].[OH2],0.4594594594594595,1
[HH].[HH].[H][CH]([H])[CH]1[O][O]1[OH],0.345679012345679,1
[HH].[HH].[H][CH]([H])[CH]1[O][O][O]1,0.3142857142857143,1
[HH].[HH].[H][CH]([H])[C]#[O].[OH][OH],0.4583333333333333,1
[HH].[HH].[H][CH]1[CH]([H])[O]1[O][OH],0.6153846153846154,4
[HH].[HH].[H][CH]1[O][O]([OH])[CH]1[H],0.4675324675324675,4
[HH].[HH].[H][CH]1[O][O][O][CH]1[H],0.4745762711864407,4
[HH].[HH].[H][CH]=[C]([H])[OH].[O]=[O],0.5753424657534246,4
[HH].[HH].[H][CH]=[C]([H])[O]([OH])[OH],0.9038461538461539,2
[HH].[HH].[H][CH]=[C]([H])[O]=[O].[OH2],0.5222222222222223,4
[HH].[HH].[H][CH]=[C]([H])[O][O][OH],0.9213483146067416,2
[HH].[HH].[H][C]#[CH].[H][O]([OH])[OH],0.7213114754098361,1
[HH].[HH].[H][C]#[CH].[H][O][O][OH],0.6528925619834711,1
[HH].[HH].[H][C]#[C][H].[OH2].[O]=[O],1.0,2
[HH].[HH].[H][C]#[C][H].[OH][O][OH],0.543859649122807,4
[HH].[HH].[H][C]([H])([CH3])[OH].[O]#[O],0.5178571428571429,1
[HH].[HH].[H][C]([H])([CH3])[O]([OH])[OH],0.9523809523809523,2
[HH].[HH].[H][C]([H])([CH3])[O]1[O][O]1,0.41935483870967744,1
[HH].[HH].[H][C]([H])([CH3])[O]=[O][OH],1.0,2
[HH].[HH].[H][C]([H])([CH3])[O][OH].[OH2],0.5694444444444444,1
[HH].[HH].[H][C]([H])([CH3])[O][O]=[O],0.972972972972973,2
[HH].[HH].[H][C]([H])=[CH2].[OH2].[O]#[O],0.9682539682539683,2
[HH].[HH].[H][C]([H])=[CH2].[O]1[O][O]1,0.625,2
[HH].[HH].[H][C]([H])=[CH2].[O]=[O][OH],0.6235294117647059,1
[HH].[HH].[H][C]([H])=[CH][O]([OH])[OH],0.8461538461538461,2
